Age,Group_Size,Travel_Mode,Location,Activity_Type,Duration_Minutes,Hotel_Star,Carbon_Footprint_kg_CO2
68,1,Private Vehicle,Bentota,Shopping,105,4,0.633
18,7,Walking,Badulla,Walking,56,1,0.004
68,11,Private Vehicle,Polonnaruwa,Airport Transfer,127,3,13.886
67,4,Flight,Trincomalee,Flight,386,4,123.737
67,1,Private Vehicle,Trincomalee,Medical / Hospital Visit,103,3,0.959
59,3,Public Transport,Colombo,Cultural / Temple Visit,52,3,0.208
47,5,Private Vehicle,Nuwara Eliya,Vehicle Travel,287,3,20.861
62,12,Private Vehicle,Colombo,Vehicle Travel,51,5,8.99
35,2,Private Vehicle,Polonnaruwa,Vehicle Travel,224,2,5.26
67,7,Public Transport,Haputale,Spa / Ayurveda,90,3,4.574
53,10,Flight,Ella,Flight,287,5,233.242
46,15,Public Bus,Sigiriya,Vehicle Travel,53,5,9.168
49,1,Flight,Anuradhapura,Flight,179,1,9.939
53,15,N/A,Polonnaruwa,Resting,64,4,0.57
20,7,Bicycle,Yala,Vehicle Travel,212,1,9.517
26,10,Private Vehicle,Colombo,Vehicle Travel,243,5,35.2
33,1,Private Vehicle,Jaffna,Private / Hired Vehicle,80,3,0.658
25,5,Public Transport,Galle,Sightseeing,140,3,0.899
45,7,Walking,Mirissa,Vehicle Travel,100,3,2.485
60,3,Private Vehicle,Kalpitiya,Other,96,4,0.612
59,4,Flight,Kandy,Flight,402,2,89.398
47,6,Walking,Badulla,Walking,138,4,0.009
71,6,Private Vehicle,Hikkaduwa,Vehicle Travel,95,3,8.408
53,1,Walking,Kandy,Cultural / Temple Visit,65,4,0.039
22,4,Jeep,Nuwara Eliya,Wildlife Safari,159,5,13.826
66,2,Flight,Ella,Flight,347,2,41.291
54,14,Public Bus,Kalpitiya,Vehicle Travel,171,2,24.546
57,18,Private Vehicle,Negombo,Private / Hired Vehicle,68,3,12.792
53,3,Walking,Anuradhapura,Vehicle Travel,155,4,2.115
52,2,Flight,Trincomalee,Flight,243,1,28.311
23,2,Tuk-Tuk,Bentota,Vehicle Travel,198,4,4.388
53,5,Private Vehicle,Yala,Vehicle Travel,185,4,13.741
68,13,Public Bus,Mirissa,Vehicle Travel,317,4,49.706
37,5,Water,Ella,Surfing,111,4,0.505
55,1,Public Transport,Dambulla,Airport Transfer,75,1,0.492
19,1,Water,Haputale,Swimming / Snorkeling,117,3,0.101
39,2,Water,Badulla,Surfing,117,4,0.199
45,12,Private Vehicle,Ella,Vehicle Travel,114,3,16.672
79,7,Private Vehicle,Yala,Vehicle Travel,203,4,22.632
31,6,Private Vehicle,Sigiriya,Sightseeing,227,5,3.0
35,3,Public Transport,Mirissa,Sightseeing,201,1,0.754
43,15,Walking,Bentota,Jogging,34,3,0.062
80,3,Flight,Anuradhapura,Flight,268,3,49.403
71,12,N/A,Galle,Resting,116,2,0.665
20,13,Public Transport,Jaffna,Airport Transfer,49,5,6.678
32,5,Walking,Trincomalee,Other,115,5,0.356
69,13,N/A,Jaffna,Meal,51,3,20.191
21,2,Walking,Bentota,Vehicle Travel,179,5,1.643
71,8,Public Transport,Dambulla,Public Transport,80,1,0.697
35,1,Public Transport,Mirissa,Shopping,134,5,0.638
75,5,Jeep,Ella,Wildlife Safari,218,5,22.085
36,2,Private Vehicle,Anuradhapura,Airport Transfer,123,2,2.257
45,1,N/A,Hikkaduwa,Meal,59,4,1.94
59,1,Private Vehicle,Galle,Vehicle Travel,196,4,3.044
25,3,Public Transport,Anuradhapura,Sightseeing,128,3,0.577
53,6,Private Vehicle,Kalpitiya,Medical / Hospital Visit,78,3,3.791
49,4,Cruise,Yala,Cruise,481,4,39.519
67,3,Public Bus,Trincomalee,Vehicle Travel,201,2,6.133
80,20,Walking,Hikkaduwa,Hiking,119,2,0.339
59,15,Public Transport,Bentota,Shopping,87,3,6.049
43,1,N/A,Polonnaruwa,Other,102,4,0.214
43,4,Bicycle,Colombo,Vehicle Travel,297,3,8.224
44,7,Private Vehicle,Arugam Bay,Vehicle Travel,171,4,17.445
69,9,Private Vehicle,Jaffna,Vehicle Travel,185,2,22.361
38,3,N/A,Nuwara Eliya,Resting,156,2,0.23
28,9,Walking,Dambulla,Walking,138,4,0.014
39,1,Public Transport,Kandy,Sightseeing,114,2,0.129
19,3,Tuk-Tuk,Hikkaduwa,Vehicle Travel,273,4,10.086
24,9,Walking,Mirissa,Hiking,101,3,0.136
23,7,Walking,Dambulla,Jogging,49,4,0.051
66,12,Private Vehicle,Nuwara Eliya,Vehicle Travel,143,3,24.284
63,1,Cruise,Ella,Cruise,340,5,9.784
61,2,Public Bus,Jaffna,Vehicle Travel,187,1,2.808
47,1,Private Vehicle,Badulla,Other,80,5,0.145
63,2,Boat,Dambulla,Boat Ride,77,3,0.796
28,1,Walking,Nuwara Eliya,Vehicle Travel,278,1,0.872
74,5,Ferry,Yala,Ferry,159,4,3.939
49,5,Cruise,Sigiriya,Cruise,608,3,65.077
77,8,Public Transport,Dambulla,Public Transport,58,3,0.581
27,4,Public Transport,Trincomalee,Spa / Ayurveda,112,5,3.127
49,1,Private Vehicle,Yala,Private / Hired Vehicle,159,4,1.866
61,8,Private Vehicle,Colombo,Vehicle Travel,175,4,19.92
49,1,Cruise,Mirissa,Cruise,372,5,11.2
46,12,Private Vehicle,Yala,Spa / Ayurveda,82,3,6.682
28,1,Bicycle,Colombo,Vehicle Travel,91,1,0.612
42,5,N/A,Ella,Meal,55,5,11.158
33,13,Private Vehicle,Negombo,Private / Hired Vehicle,192,3,24.609
36,6,Jeep,Negombo,Wildlife Safari,136,2,14.388
61,7,Cruise,Arugam Bay,Cruise,356,1,54.138
57,8,Private Vehicle,Dambulla,Vehicle Travel,208,3,18.77
56,1,Private Vehicle,Negombo,Medical / Hospital Visit,56,3,0.454
40,8,N/A,Mirissa,Resting,74,3,0.319
78,13,Walking,Nuwara Eliya,Vehicle Travel,226,4,12.778
23,18,Train,Yala,Vehicle Travel,169,4,28.991
39,4,Private Vehicle,Polonnaruwa,Vehicle Travel,273,5,15.541
25,3,Public Transport,Bentota,Spa / Ayurveda,112,2,2.018
39,10,Tuk-Tuk,Hikkaduwa,Vehicle Travel,144,2,17.24
78,6,Tuk-Tuk,Polonnaruwa,Vehicle Travel,203,4,15.908
41,2,Flight,Trincomalee,Flight,166,2,19.403
75,2,Tuk-Tuk,Trincomalee,Vehicle Travel,181,3,4.799
49,2,Walking,Ella,Hiking,150,4,0.055
62,5,Boat,Arugam Bay,Boat Ride,81,4,1.796
46,2,N/A,Colombo,Resting,90,2,0.092
34,1,Public Bus,Galle,Vehicle Travel,185,4,2.095
66,1,Private Vehicle,Trincomalee,Vehicle Travel,64,4,0.939
79,15,N/A,Nuwara Eliya,Resting,77,5,0.713
34,1,Walking,Bentota,Vehicle Travel,327,3,1.131
67,1,Walking,Anuradhapura,Walking,74,4,0.001
34,4,Jeep,Arugam Bay,Wildlife Safari,117,4,7.804
63,2,Public Bus,Hikkaduwa,Vehicle Travel,162,3,2.853
67,17,Walking,Yala,Jogging,42,4,0.1
46,14,Train,Polonnaruwa,Vehicle Travel,90,4,12.665
64,4,Private Vehicle,Arugam Bay,Medical / Hospital Visit,36,3,1.151
35,4,Walking,Badulla,Vehicle Travel,60,3,0.986
22,4,Bicycle,Badulla,Bicycle Ride,90,3,0.01
24,1,Flight,Yala,Flight,274,4,19.003
46,3,Public Bus,Dambulla,Vehicle Travel,151,1,4.086
74,1,Boat,Arugam Bay,Boat Ride,143,4,0.65
26,1,Flight,Kalpitiya,Flight,397,2,23.679
46,6,Private Vehicle,Dambulla,Other,130,4,1.297
62,1,Train,Bentota,Vehicle Travel,252,4,2.182
30,1,Walking,Bentota,Sightseeing,201,4,0.099
63,5,N/A,Kalpitiya,Resting,112,4,0.321
37,4,Public Transport,Trincomalee,Public Transport,84,3,0.381
68,1,Private Vehicle,Hikkaduwa,Other,148,3,0.261
54,1,Public Transport,Hikkaduwa,Shopping,204,4,0.898
52,2,Public Transport,Ella,Public Transport,58,2,0.13
29,2,Private Vehicle,Nuwara Eliya,Private / Hired Vehicle,189,4,3.599
47,11,Public Transport,Haputale,Spa / Ayurveda,82,4,5.817
71,14,Water,Sigiriya,Swimming / Snorkeling,131,5,1.961
19,4,Cruise,Kalpitiya,Cruise,316,3,25.19
65,4,Tuk-Tuk,Anuradhapura,Vehicle Travel,217,4,10.66
49,9,Private Vehicle,Polonnaruwa,Sightseeing,218,1,2.982
63,7,Public Transport,Jaffna,Public Transport,28,5,0.305
59,2,Walking,Kandy,Hiking,306,4,0.095
45,1,Private Vehicle,Sigiriya,Vehicle Travel,208,4,2.711
37,4,Private Vehicle,Badulla,Spa / Ayurveda,187,4,5.31
57,6,N/A,Nuwara Eliya,Resting,154,3,0.528
26,1,Private Vehicle,Nuwara Eliya,Sightseeing,181,4,0.344
54,3,Public Bus,Galle,Vehicle Travel,206,5,6.954
23,3,Public Bus,Mirissa,Vehicle Travel,140,2,4.106
58,2,Public Bus,Polonnaruwa,Vehicle Travel,128,5,3.562
57,5,Water,Haputale,Surfing,143,5,0.772
23,7,Public Transport,Kalpitiya,Public Transport,77,5,0.699
65,5,Public Bus,Kalpitiya,Vehicle Travel,251,5,17.158
44,2,Tuk-Tuk,Haputale,Vehicle Travel,161,3,3.705
67,1,N/A,Jaffna,Meal,75,4,2.473
20,11,Public Transport,Polonnaruwa,Public Transport,62,2,0.787
29,5,Tuk-Tuk,Mirissa,Vehicle Travel,80,4,4.899
49,1,Bicycle,Galle,Vehicle Travel,102,2,0.744
29,2,Public Transport,Colombo,Public Transport,131,5,0.387
38,11,Private Vehicle,Kandy,Sightseeing,92,3,1.629
59,10,Public Bus,Bentota,Vehicle Travel,147,2,13.149
27,13,Private Vehicle,Arugam Bay,Spa / Ayurveda,229,1,17.309
60,7,Water,Mirissa,Swimming / Snorkeling,76,4,0.576
24,4,Private Vehicle,Trincomalee,Medical / Hospital Visit,53,2,1.373
29,4,Ferry,Anuradhapura,Ferry,136,2,2.585
55,2,Walking,Negombo,Hiking,243,2,0.072
67,7,Jeep,Kalpitiya,Wildlife Safari,306,3,34.907
28,6,Tuk-Tuk,Nuwara Eliya,Vehicle Travel,177,5,13.684
36,1,Private Vehicle,Sigiriya,Sightseeing,114,3,0.204
76,13,N/A,Haputale,Resting,126,3,0.934
80,3,Water,Badulla,Swimming / Snorkeling,59,2,0.14
54,1,N/A,Bentota,Meal,63,1,1.637
46,3,Cruise,Trincomalee,Cruise,333,3,26.386
39,13,Private Vehicle,Jaffna,Private / Hired Vehicle,170,2,20.482
56,14,Walking,Mirissa,Jogging,29,1,0.039
55,5,Public Transport,Kalpitiya,Sightseeing,175,2,1.288
36,16,Train,Galle,Vehicle Travel,173,3,21.628
19,13,Private Vehicle,Trincomalee,Shopping,60,4,4.365
27,11,Water,Nuwara Eliya,Surfing,154,1,1.128
78,12,Public Transport,Dambulla,Airport Transfer,56,4,6.456
44,4,Walking,Jaffna,Jogging,21,4,0.011
48,10,N/A,Negombo,Beach Leisure,94,5,0.898
47,6,Private Vehicle,Haputale,Shopping,144,2,4.308
67,9,Train,Dambulla,Vehicle Travel,144,4,13.261
22,2,Boat,Kalpitiya,Boat Ride,57,5,0.652
23,9,Water,Polonnaruwa,Swimming / Snorkeling,56,5,0.491
35,16,Walking,Mirissa,Walking,71,5,0.012
48,3,Public Transport,Anuradhapura,Public Transport,123,2,0.43
60,19,Public Transport,Bentota,Airport Transfer,101,5,21.371
48,4,Private Vehicle,Anuradhapura,Private / Hired Vehicle,140,5,6.128
45,2,Jeep,Mirissa,Wildlife Safari,406,2,13.079
77,1,N/A,Polonnaruwa,Meal,48,2,1.386
28,10,N/A,Anuradhapura,Meal,47,5,19.034
54,6,Private Vehicle,Jaffna,Vehicle Travel,161,2,11.292
52,3,Public Transport,Yala,Public Transport,93,4,0.358
47,7,Ferry,Mirissa,Ferry,181,3,5.139
68,3,Train,Polonnaruwa,Vehicle Travel,248,4,8.508
34,4,Public Transport,Yala,Airport Transfer,101,2,2.863
78,12,Private Vehicle,Anuradhapura,Vehicle Travel,87,4,17.037
38,8,Tuk-Tuk,Nuwara Eliya,Vehicle Travel,25,4,2.333
52,10,Private Vehicle,Arugam Bay,Medical / Hospital Visit,39,5,4.074
50,6,Bicycle,Arugam Bay,Vehicle Travel,203,2,8.296
71,20,Bicycle,Ella,Vehicle Travel,99,2,13.853
45,2,Private Vehicle,Badulla,Cultural / Temple Visit,138,2,0.435
35,2,Flight,Kalpitiya,Flight,287,1,29.854
19,1,Private Vehicle,Sigiriya,Vehicle Travel,93,5,1.363
40,6,Cruise,Haputale,Cruise,556,2,65.465
70,7,Walking,Sigiriya,Vehicle Travel,184,2,4.971
18,9,Public Bus,Yala,Vehicle Travel,106,5,9.719
74,3,Public Transport,Galle,Spa / Ayurveda,117,3,2.086
52,1,Public Transport,Mirissa,Sightseeing,83,3,0.106
26,7,Boat,Arugam Bay,Boat Ride,68,4,2.47
37,20,Private Vehicle,Sigiriya,Sightseeing,150,3,5.515
52,3,Public Transport,Sigiriya,Shopping,172,5,2.897
37,2,Walking,Haputale,Walking,122,4,0.003
24,3,Walking,Hikkaduwa,Vehicle Travel,104,3,1.09
59,4,Walking,Ella,Vehicle Travel,129,4,2.164
60,2,N/A,Galle,Meal,48,5,3.52
25,3,Flight,Kandy,Flight,100,3,19.279
35,7,Walking,Nuwara Eliya,Shopping,104,4,1.239
33,3,N/A,Negombo,Meal,59,3,4.259
59,4,N/A,Kandy,Resting,216,4,0.524
64,1,Train,Nuwara Eliya,Vehicle Travel,144,4,1.497
63,14,Ferry,Colombo,Ferry,79,1,4.397
77,4,N/A,Mirissa,Resting,57,3,0.114
66,3,Private Vehicle,Polonnaruwa,Private / Hired Vehicle,102,2,2.844
38,1,Walking,Trincomalee,Vehicle Travel,89,4,0.371
24,7,N/A,Haputale,Meal,43,4,8.68
56,12,Train,Hikkaduwa,Vehicle Travel,123,3,13.385
75,1,N/A,Dambulla,Resting,106,1,0.049
79,1,Walking,Bentota,Jogging,23,5,0.004
32,1,Public Bus,Kalpitiya,Vehicle Travel,52,3,0.51
32,7,N/A,Mirissa,Beach Leisure,187,3,0.914
20,14,Public Bus,Kandy,Vehicle Travel,329,2,44.193
26,4,Bicycle,Kandy,Vehicle Travel,99,4,2.797
52,3,Flight,Kalpitiya,Flight,224,3,40.07
52,10,N/A,Sigiriya,Meal,52,5,16.821
41,9,Flight,Arugam Bay,Flight,177,4,114.06
37,2,Private Vehicle,Dambulla,Medical / Hospital Visit,109,1,1.416
70,1,Tuk-Tuk,Dambulla,Vehicle Travel,218,4,3.086
46,3,Public Transport,Colombo,Spa / Ayurveda,73,3,1.151
68,10,Public Transport,Mirissa,Sightseeing,158,1,1.701
78,8,Walking,Haputale,Cultural / Temple Visit,70,4,0.325
37,8,Private Vehicle,Bentota,Sightseeing,131,2,1.489
30,11,Private Vehicle,Trincomalee,Private / Hired Vehicle,50,5,6.799
78,2,Public Transport,Sigiriya,Public Transport,60,4,0.154
57,3,Private Vehicle,Negombo,Vehicle Travel,67,2,2.695
36,1,Ferry,Galle,Ferry,136,5,0.766
57,12,Public Transport,Trincomalee,Sightseeing,224,4,4.498
50,6,Bicycle,Yala,Vehicle Travel,283,2,11.814
75,3,Private Vehicle,Mirissa,Private / Hired Vehicle,98,4,3.811
34,1,Public Bus,Arugam Bay,Vehicle Travel,97,5,1.064
80,9,Bicycle,Badulla,Vehicle Travel,255,3,14.488
76,10,Walking,Badulla,Sightseeing,144,3,0.795
29,8,Jeep,Sigiriya,Wildlife Safari,185,3,21.738
28,2,N/A,Colombo,Beach Leisure,323,3,0.547
51,14,Public Bus,Arugam Bay,Vehicle Travel,90,2,12.162
20,10,Private Vehicle,Jaffna,Sightseeing,168,4,2.95
36,8,Walking,Dambulla,Walking,64,5,0.006
45,7,Bicycle,Trincomalee,Vehicle Travel,98,4,5.902
79,14,Private Vehicle,Jaffna,Spa / Ayurveda,130,2,12.179
80,15,Public Bus,Colombo,Vehicle Travel,104,3,16.628
27,6,Public Transport,Dambulla,Public Transport,64,1,0.355
74,4,Walking,Bentota,Jogging,33,3,0.02
23,3,Walking,Anuradhapura,Sightseeing,119,4,0.217
65,11,Train,Yala,Vehicle Travel,219,3,19.514
71,7,N/A,Kandy,Meal,69,5,18.165
74,1,Private Vehicle,Arugam Bay,Sightseeing,233,3,0.391
32,1,Walking,Anuradhapura,Hiking,131,4,0.019
74,14,Private Vehicle,Nuwara Eliya,Medical / Hospital Visit,58,5,6.941
25,13,Boat,Nuwara Eliya,Boat Ride,72,4,4.412
50,16,N/A,Colombo,Meal,46,5,26.061
47,4,Walking,Kalpitiya,Jogging,26,5,0.018
37,10,Private Vehicle,Sigiriya,Vehicle Travel,112,4,16.59
19,11,Public Transport,Kalpitiya,Shopping,71,3,3.45
66,3,Cruise,Polonnaruwa,Cruise,380,3,29.858
39,1,Water,Arugam Bay,Surfing,125,5,0.137
59,20,Walking,Polonnaruwa,Walking,118,1,0.022
43,1,Private Vehicle,Nuwara Eliya,Vehicle Travel,176,5,2.999
41,6,N/A,Ella,Beach Leisure,326,3,1.482
73,7,Flight,Kalpitiya,Flight,296,4,145.826
23,8,Private Vehicle,Mirissa,Spa / Ayurveda,123,3,6.23
64,2,Private Vehicle,Hikkaduwa,Private / Hired Vehicle,111,5,2.511
65,9,Jeep,Haputale,Wildlife Safari,178,1,22.814
41,2,Tuk-Tuk,Colombo,Vehicle Travel,183,3,4.664
34,11,Water,Ella,Swimming / Snorkeling,63,5,0.755
18,2,Train,Badulla,Vehicle Travel,213,3,4.051
77,8,N/A,Galle,Meal,72,3,17.839
77,10,Bicycle,Yala,Bicycle Ride,107,5,0.035
33,2,Water,Colombo,Surfing,132,5,0.281
20,2,Private Vehicle,Bentota,Vehicle Travel,44,2,1.07
25,10,Walking,Ella,Walking,95,4,0.011
22,1,Private Vehicle,Sigiriya,Private / Hired Vehicle,72,3,0.782
70,2,Private Vehicle,Polonnaruwa,Vehicle Travel,118,2,3.108
74,4,Private Vehicle,Sigiriya,Shopping,84,4,1.867
27,15,Private Vehicle,Polonnaruwa,Other,106,2,2.376
65,6,N/A,Kalpitiya,Resting,183,3,0.621
29,4,Private Vehicle,Trincomalee,Vehicle Travel,194,3,10.19
41,18,Private Vehicle,Trincomalee,Spa / Ayurveda,144,5,23.005
55,5,Private Vehicle,Bentota,Spa / Ayurveda,133,4,5.283
63,4,Walking,Hikkaduwa,Walking,92,2,0.003
73,4,Flight,Polonnaruwa,Flight,178,5,64.941
20,3,N/A,Kalpitiya,Meal,59,5,6.875
30,3,Flight,Ella,Flight,106,3,19.069
35,8,N/A,Hikkaduwa,Resting,160,5,0.804
37,1,Private Vehicle,Galle,Vehicle Travel,114,3,1.437
80,8,Private Vehicle,Arugam Bay,Vehicle Travel,335,3,35.075
66,2,Private Vehicle,Kandy,Shopping,86,3,0.829
38,4,Public Transport,Jaffna,Public Transport,91,2,0.412
79,1,Walking,Kalpitiya,Walking,142,4,0.001
49,6,Public Transport,Polonnaruwa,Airport Transfer,56,4,2.819
49,9,N/A,Negombo,Other,88,5,1.882
45,3,Water,Jaffna,Swimming / Snorkeling,69,3,0.182
27,1,Private Vehicle,Mirissa,Medical / Hospital Visit,61,2,0.498
76,2,N/A,Kandy,Resting,84,3,0.089
18,11,Train,Negombo,Vehicle Travel,87,2,6.892
28,2,Public Transport,Hikkaduwa,Shopping,132,5,1.414
32,10,Walking,Galle,Other,179,4,1.024
35,3,Private Vehicle,Mirissa,Private / Hired Vehicle,46,4,1.48
26,2,Boat,Anuradhapura,Boat Ride,45,4,0.422
19,9,Walking,Trincomalee,Jogging,36,3,0.039
60,5,Boat,Polonnaruwa,Boat Ride,149,2,3.418
79,1,Private Vehicle,Bentota,Private / Hired Vehicle,49,3,0.44
25,16,N/A,Haputale,Meal,73,5,43.632
36,1,Public Bus,Yala,Vehicle Travel,204,3,1.998
49,3,Public Transport,Trincomalee,Shopping,90,1,1.026
76,4,N/A,Colombo,Beach Leisure,291,4,1.368
61,5,Water,Galle,Surfing,96,2,0.391
66,10,Private Vehicle,Sigiriya,Other,164,4,3.229
54,1,Water,Badulla,Swimming / Snorkeling,89,1,0.066
44,15,Walking,Sigiriya,Jogging,43,4,0.076
30,7,Train,Anuradhapura,Vehicle Travel,237,3,15.074
72,16,Private Vehicle,Kalpitiya,Sightseeing,203,5,5.766
68,11,Walking,Bentota,Sightseeing,141,4,0.964
19,15,Train,Polonnaruwa,Vehicle Travel,103,1,10.747
63,7,Public Bus,Galle,Vehicle Travel,137,4,10.377
23,3,Public Transport,Galle,Sightseeing,125,4,0.583
64,4,Walking,Colombo,Cultural / Temple Visit,91,4,0.189
70,8,Flight,Galle,Flight,120,5,76.846
26,4,Private Vehicle,Mirissa,Sightseeing,132,5,0.979
45,9,N/A,Kandy,Meal,52,2,11.693
25,1,Water,Mirissa,Surfing,75,3,0.061
53,11,Train,Jaffna,Vehicle Travel,179,3,19.4
76,2,N/A,Nuwara Eliya,Meal,49,4,3.547
23,16,Private Vehicle,Colombo,Vehicle Travel,126,5,29.112
43,1,Walking,Ella,Walking,137,4,0.002
79,1,Walking,Galle,Cultural / Temple Visit,108,3,0.056
